date,spend
2026-03-01,325.77
2026-03-02,416.11
2026-03-03,495.56
2026-03-04,488.58
2026-03-05,460.24
2026-03-06,363.46
2026-03-07,355.74
2026-03-08,367.45
2026-03-09,454.15
2026-03-10,492.78
2026-03-11,503.86
2026-03-12,451.20
2026-03-13,389.60
2026-03-14,372.36
2026-03-15,417.84
2026-03-16,400.40
2026-03-17,435.85
2026-03-18,561.31
2026-03-19,516.40
2026-03-20,435.36
2026-03-21,392.67
2026-03-22,389.99
2026-03-23,447.44
2026-03-24,484.47
2026-03-25,541.16
2026-03-26,486.17
2026-03-27,387.13
2026-03-28,383.64
2026-03-29,397.90
2026-03-30,451.91
2026-03-31,568.13
2026-04-01,563.50
2026-04-02,428.88
2026-04-03,454.36
2026-04-04,431.49
2026-04-05,452.53
2026-04-06,496.77
2026-04-07,488.35
2026-04-08,570.14
2026-04-09,515.15
2026-04-10,488.45
2026-04-11,429.07
2026-04-12,398.42
2026-04-13,532.90
2026-04-14,518.31
2026-04-15,587.12
2026-04-16,534.94
2026-04-17,452.82
2026-04-18,376.77
2026-04-19,424.36
2026-04-20,479.52
2026-04-21,552.83
2026-04-22,567.28
2026-04-23,573.61
2026-04-24,486.57
2026-04-25,467.78
2026-04-26,428.62
2026-04-27,501.65
2026-04-28,589.68
2026-04-29,606.08
2026-04-30,563.06
2026-05-01,477.57
2026-05-02,427.20
2026-05-03,507.98
2026-05-04,506.93
2026-05-05,570.43
2026-05-06,630.58
2026-05-07,559.83
2026-05-08,484.17
2026-05-09,482.31
2026-05-10,472.88
2026-05-11,564.44
2026-05-12,587.43
2026-05-13,586.27
2026-05-14,626.43
2026-05-15,539.02
2026-05-16,477.15
2026-05-17,486.06
2026-05-18,514.00
2026-05-19,587.99
2026-05-20,586.98
2026-05-21,600.40
2026-05-22,549.28
2026-05-23,477.21
2026-05-24,488.40
2026-05-25,565.14
2026-05-26,612.22
2026-05-27,640.02
2026-05-28,602.86
2026-05-29,541.75
2026-05-30,510.68
2026-05-31,488.01
2026-06-01,583.94
2026-06-02,576.98
2026-06-03,641.26
2026-06-04,595.87
2026-06-05,551.91
2026-06-06,502.60
2026-06-07,527.59
2026-06-08,536.72
2026-06-09,622.44
2026-06-10,631.15
2026-06-11,621.84
2026-06-12,558.64
2026-06-13,507.45
2026-06-14,520.89
2026-06-15,572.68
2026-06-16,642.45
2026-06-17,670.57
2026-06-18,640.52
2026-06-19,561.63
2026-06-20,504.26
2026-06-21,524.62
2026-06-22,616.65
2026-06-23,632.15
2026-06-24,663.43
2026-06-25,581.80
2026-06-26,596.31
2026-06-27,540.73
2026-06-28,539.80
2026-06-29,606.08
2026-06-30,681.27
2026-07-01,679.98
2026-07-02,651.15
2026-07-03,587.04
2026-07-04,523.27
2026-07-05,525.70
2026-07-06,644.94
2026-07-07,665.79
2026-07-08,720.10
2026-07-09,683.72
2026-07-10,587.26
2026-07-11,546.97
2026-07-12,564.34
2026-07-13,671.28
2026-07-14,690.29
2026-07-15,699.06
2026-07-16,689.05
2026-07-17,588.10
2026-07-18,559.69
2026-07-19,575.06
2026-07-20,643.50
2026-07-21,671.41
2026-07-22,701.33
2026-07-23,683.03
2026-07-24,597.70
2026-07-25,560.80
2026-07-26,609.21
2026-07-27,632.47
2026-07-28,707.49
2026-07-29,745.40
2026-07-30,693.28
2026-07-31,673.87
2026-08-01,593.40
2026-08-02,575.70
2026-08-03,675.48
2026-08-04,728.51
2026-08-05,756.28
2026-08-06,669.28
2026-08-07,640.26
2026-08-08,632.24
2026-08-09,627.15
2026-08-10,704.36
2026-08-11,718.68
2026-08-12,760.66
2026-08-13,713.94
2026-08-14,690.43
2026-08-15,596.18
2026-08-16,660.99
2026-08-17,694.86
2026-08-18,747.64
2026-08-19,746.28
2026-08-20,700.21
2026-08-21,631.84
2026-08-22,636.50
2026-08-23,622.90
2026-08-24,727.17
2026-08-25,767.74
2026-08-26,783.43
2026-08-27,762.09
