date,spend,impressions,clicks,conversions,revenue
2026-03-01,393.03,21799,366,15,1111.29
2026-03-02,410.32,23332,376,16,1277.12
2026-03-03,497.95,29857,463,19,1476.34
2026-03-04,492.88,27127,452,18,1437.17
2026-03-05,471.76,26187,425,16,1296.03
2026-03-06,386.48,22469,344,13,961.21
2026-03-07,339.72,20054,294,12,924.72
2026-03-08,350.49,19971,317,13,1077.00
2026-03-09,439.71,24959,409,17,1363.74
2026-03-10,510.45,28109,460,18,1463.91
2026-03-11,521.66,31001,483,18,1435.50
2026-03-12,488.36,28622,431,18,1382.04
2026-03-13,359.56,20286,307,11,920.71
2026-03-14,402.81,24239,375,17,1364.06
2026-03-15,354.09,18296,336,11,760.90
2026-03-16,432.69,25091,387,17,1313.81
2026-03-17,521.94,30607,472,20,1612.49
2026-03-18,518.47,30161,482,19,1487.08
2026-03-19,456.20,26014,419,18,1466.48
2026-03-20,402.50,22299,391,17,1244.68
2026-03-21,360.39,20044,324,11,864.90
2026-03-22,376.09,21554,358,15,1108.62
2026-03-23,423.99,24072,403,18,1340.52
2026-03-24,554.01,32480,502,21,1633.31
2026-03-25,527.83,30187,487,21,1624.18
2026-03-26,508.05,29451,466,18,1432.45
2026-03-27,453.01,27682,422,19,1494.05
2026-03-28,400.21,22883,371,15,1110.84
2026-03-29,390.73,21623,346,14,1044.16
2026-03-30,513.09,31336,485,21,1580.49
2026-03-31,549.41,30538,498,20,1531.86
2026-04-01,580.34,32925,563,22,1786.70
2026-04-02,484.42,28899,431,18,1391.05
2026-04-03,456.49,27010,424,17,1420.62
2026-04-04,383.78,22253,347,14,1080.76
2026-04-05,403.93,23866,364,15,1179.31
2026-04-06,512.99,29615,493,21,1611.61
2026-04-07,575.69,34428,548,24,1905.67
2026-04-08,552.22,32856,507,21,1704.21
2026-04-09,514.43,31027,502,21,1638.35
2026-04-10,480.24,28002,454,20,1498.01
2026-04-11,412.16,22507,370,16,1186.46
2026-04-12,410.30,23362,381,16,1263.54
2026-04-13,486.77,27529,452,18,1335.95
2026-04-14,583.11,33074,525,23,1771.61
2026-04-15,543.19,30794,523,25,1901.20
2026-04-16,555.31,32847,514,19,1523.59
2026-04-17,470.48,27043,413,16,1256.81
2026-04-18,412.87,24119,375,16,1305.07
2026-04-19,413.91,23426,385,15,1236.23
2026-04-20,498.38,29093,465,18,1435.66
2026-04-21,577.14,32794,522,19,1463.85
2026-04-22,630.56,36417,576,24,1877.20
2026-04-23,537.63,30955,497,21,1682.56
2026-04-24,510.59,29381,465,17,1360.92
2026-04-25,443.29,25450,405,15,1182.86
2026-04-26,440.62,25435,418,18,1410.96
2026-04-27,545.30,31169,517,21,1599.62
2026-04-28,581.76,33625,516,24,1841.21
2026-04-29,630.19,35421,580,24,1841.96
2026-04-30,571.17,33084,529,20,1603.88
2026-05-01,484.04,27261,418,17,1299.96
2026-05-02,490.34,27306,468,21,1615.42
2026-05-03,466.97,27488,411,18,1417.07
2026-05-04,519.30,30067,444,17,1252.33
2026-05-05,574.84,33816,547,22,1731.45
2026-05-06,631.86,36141,582,24,1880.10
2026-05-07,570.19,33079,525,22,1667.58
2026-05-08,479.73,27330,446,17,1356.84
2026-05-09,483.88,27341,458,16,1272.06
2026-05-10,441.98,26539,416,18,1341.21
2026-05-11,523.64,30675,475,20,1501.72
2026-05-12,626.81,36741,548,21,1604.77
2026-05-13,625.29,34629,574,22,1724.37
2026-05-14,553.61,30954,516,19,1490.27
2026-05-15,542.89,32123,482,22,1697.97
2026-05-16,485.62,28937,442,19,1343.12
2026-05-17,487.95,28348,443,18,1457.80
2026-05-18,577.06,32810,539,23,1815.50
2026-05-19,638.16,34710,567,24,1771.16
2026-05-20,666.50,39603,600,23,1796.46
2026-05-21,607.03,35843,554,23,1721.20
2026-05-22,531.86,30045,500,21,1578.12
2026-05-23,486.10,27097,457,17,1408.72
2026-05-24,519.71,31791,481,20,1574.24
2026-05-25,546.04,31521,497,20,1505.33
2026-05-26,609.05,33673,576,23,1823.38
2026-05-27,659.29,37908,621,23,1760.77
2026-05-28,599.14,33805,530,20,1499.69
2026-05-29,560.36,31763,508,21,1619.04
2026-05-30,512.31,29770,470,20,1498.95
2026-05-31,515.13,31279,465,18,1334.34
2026-06-01,584.06,34318,531,21,1699.83
2026-06-02,655.79,38546,597,26,2041.94
2026-06-03,671.54,38301,647,25,1922.49
2026-06-04,577.94,34027,531,22,1614.90
2026-06-05,551.68,31183,492,20,1550.83
2026-06-06,501.60,28538,469,19,1491.13
2026-06-07,535.21,31210,502,21,1691.25
2026-06-08,584.20,34962,548,22,1742.50
2026-06-09,670.04,37869,615,24,1887.60
2026-06-10,662.34,39628,598,24,1937.73
2026-06-11,647.54,35995,593,22,1754.74
2026-06-12,544.08,31386,498,19,1464.16
2026-06-13,552.70,31153,500,21,1667.53
2026-06-14,519.36,30212,481,21,1582.66
2026-06-15,657.66,39877,588,23,1814.99
2026-06-16,668.54,38228,614,24,1866.23
2026-06-17,704.61,40435,652,28,2206.01
2026-06-18,655.45,39770,597,25,2047.79
2026-06-19,581.26,34371,528,21,1639.99
2026-06-20,540.13,31589,504,21,1626.83
2026-06-21,537.86,31041,495,20,1530.14
2026-06-22,647.05,38443,597,24,1905.65
2026-06-23,689.93,39750,641,26,2002.29
2026-06-24,704.16,41332,652,27,2156.92
2026-06-25,673.29,39345,628,25,1877.00
2026-06-26,592.07,34442,541,24,1869.67
2026-06-27,568.38,33013,506,19,1541.96
2026-06-28,563.92,32250,533,24,1860.22
2026-06-29,660.31,37995,596,23,1806.40
2026-06-30,677.40,38905,624,26,1965.81
2026-07-01,722.07,41135,681,28,2131.75
2026-07-02,712.91,41457,665,28,2141.98
2026-07-03,617.90,35177,552,22,1730.63
2026-07-04,549.16,32751,513,21,1697.13
2026-07-05,583.12,34071,533,22,1688.58
2026-07-06,668.32,40110,627,26,2017.26
2026-07-07,725.11,41532,667,27,2098.93
2026-07-08,693.53,40194,645,25,2038.74
2026-07-09,695.25,39808,656,26,2118.99
2026-07-10,602.47,35733,571,24,1883.82
2026-07-11,555.66,32079,513,22,1634.60
2026-07-12,600.31,33817,545,22,1706.32
2026-07-13,672.35,37555,624,24,1893.14
2026-07-14,731.32,41167,677,30,2313.16
2026-07-15,734.67,43892,695,26,2034.90
2026-07-16,689.44,40102,633,25,1918.71
2026-07-17,649.99,36857,600,25,2033.69
2026-07-18,589.96,34398,531,22,1767.89
2026-07-19,609.85,36408,555,24,1827.26
2026-07-20,659.70,37695,620,26,2021.61
2026-07-21,740.42,43618,676,29,2262.69
2026-07-22,753.71,43529,681,27,2065.62
2026-07-23,708.21,40735,642,26,2008.11
2026-07-24,615.65,33485,586,24,1885.38
2026-07-25,616.94,36745,584,25,1972.50
2026-07-26,623.09,36006,572,20,1590.95
2026-07-27,683.65,38767,642,26,2006.31
