Day,Campaign,Impressions,Clicks,Cost
2026-03-01,Brand Search,39248,646,688.29
2026-03-02,Brand Search,49270,788,832.06
2026-03-03,Brand Search,57634,1018,1033.62
2026-03-04,Brand Search,63043,1026,1081.28
2026-03-05,Brand Search,57094,920,909.06
2026-03-06,Brand Search,45586,751,729.16
2026-03-07,Brand Search,40473,682,609.87
2026-03-08,Brand Search,43606,680,704.70
2026-03-09,Brand Search,52231,837,851.41
2026-03-10,Brand Search,62377,976,1081.56
2026-03-11,Brand Search,63650,1061,1091.98
2026-03-12,Brand Search,57789,946,954.83
2026-03-13,Brand Search,47719,764,893.98
2026-03-14,Brand Search,43945,687,730.61
2026-03-15,Brand Search,45912,765,796.45
2026-03-16,Brand Search,55657,866,954.29
2026-03-17,Brand Search,63060,1080,1070.31
2026-03-18,Brand Search,67174,1142,1090.94
2026-03-19,Brand Search,63114,999,1058.22
2026-03-20,Brand Search,51434,829,967.98
2026-03-21,Brand Search,47426,752,777.76
2026-03-22,Brand Search,47865,826,877.27
2026-03-23,Brand Search,59728,933,958.90
2026-03-24,Brand Search,66314,1108,1138.92
2026-03-25,Brand Search,69244,1109,1225.54
2026-03-26,Brand Search,64033,1071,1078.12
2026-03-27,Brand Search,53641,894,933.40
2026-03-28,Brand Search,48200,771,804.57
2026-03-29,Brand Search,51230,843,918.49
2026-03-30,Brand Search,60995,1006,994.69
2026-03-31,Brand Search,69284,1108,1180.89
2026-04-01,Brand Search,74041,1235,1179.02
2026-04-02,Brand Search,65911,1060,1090.71
2026-04-03,Brand Search,56608,911,888.40
2026-04-04,Brand Search,51539,840,826.70
2026-04-05,Brand Search,55319,865,953.31
2026-04-06,Brand Search,62554,1048,974.92
2026-04-07,Brand Search,73205,1181,1191.22
2026-04-08,Brand Search,76411,1264,1213.36
2026-04-09,Brand Search,70001,1168,1166.65
2026-04-10,Brand Search,61490,951,971.23
2026-04-11,Brand Search,53712,882,984.45
2026-04-12,Brand Search,56810,958,926.31
2026-04-13,Brand Search,65609,1122,1116.09
2026-04-14,Brand Search,76973,1254,1313.54
2026-04-15,Brand Search,78442,1281,1332.66
2026-04-16,Brand Search,72206,1210,1258.23
2026-04-17,Brand Search,63285,981,1004.70
2026-04-18,Brand Search,56717,933,944.54
2026-04-19,Brand Search,58850,926,1039.19
2026-04-20,Brand Search,68834,1145,1130.20
2026-04-21,Brand Search,78074,1270,1348.87
2026-04-22,Brand Search,80918,1372,1353.67
2026-04-23,Brand Search,73639,1241,1255.23
2026-04-24,Brand Search,64929,1152,1108.04
2026-04-25,Brand Search,57425,966,1005.52
2026-04-26,Brand Search,61298,1070,1030.51
2026-04-27,Brand Search,70584,1142,1140.31
2026-04-28,Brand Search,81192,1344,1383.27
2026-04-29,Brand Search,82702,1392,1343.58
2026-04-30,Brand Search,76979,1306,1244.27
2026-05-01,Brand Search,69180,1141,1176.40
2026-05-02,Brand Search,60449,1061,1038.19
2026-05-03,Brand Search,63768,1073,1078.34
2026-05-04,Brand Search,75633,1200,1232.68
2026-05-05,Brand Search,83391,1381,1447.05
2026-05-06,Brand Search,85487,1410,1521.98
2026-05-07,Brand Search,81181,1319,1410.57
2026-05-08,Brand Search,70120,1175,1197.35
2026-05-09,Brand Search,63811,990,1073.05
2026-05-10,Brand Search,67664,1054,1123.04
2026-05-11,Brand Search,78098,1232,1290.91
2026-05-12,Brand Search,86866,1373,1482.96
2026-05-13,Brand Search,88815,1477,1520.44
2026-05-14,Brand Search,83151,1315,1367.30
2026-05-15,Brand Search,72417,1186,1216.03
2026-05-16,Brand Search,68335,1125,1162.88
2026-05-17,Brand Search,70493,1134,1189.02
2026-05-18,Brand Search,79932,1240,1320.98
2026-05-19,Brand Search,89846,1448,1499.75
2026-05-20,Brand Search,92287,1505,1516.70
2026-05-21,Brand Search,85903,1508,1439.47
2026-05-22,Brand Search,75221,1198,1276.96
2026-05-23,Brand Search,68088,1105,1127.84
2026-05-24,Brand Search,72211,1197,1201.02
2026-05-25,Brand Search,80774,1342,1317.85
2026-05-26,Brand Search,93190,1528,1609.48
2026-05-27,Brand Search,95726,1574,1587.37
2026-05-28,Brand Search,86855,1437,1470.90
2026-05-29,Brand Search,78116,1281,1286.38
2026-05-30,Brand Search,71918,1208,1218.47
2026-05-31,Brand Search,74486,1217,1284.94
2026-06-01,Brand Search,84952,1410,1401.73
2026-06-02,Brand Search,95141,1549,1605.32
2026-06-03,Brand Search,96272,1572,1634.29
2026-06-04,Brand Search,92300,1427,1462.32
2026-06-05,Brand Search,81638,1325,1426.60
2026-06-06,Brand Search,74495,1231,1281.64
2026-06-07,Brand Search,77034,1272,1285.34
2026-06-08,Brand Search,88466,1397,1452.65
2026-06-09,Brand Search,98382,1601,1645.46
2026-06-10,Brand Search,102154,1649,1692.41
2026-06-11,Brand Search,93604,1556,1577.80
2026-06-12,Brand Search,83677,1410,1380.16
2026-06-13,Brand Search,77697,1249,1272.40
2026-06-14,Brand Search,80402,1319,1296.14
2026-06-15,Brand Search,90266,1503,1527.55
2026-06-16,Brand Search,100195,1540,1591.94
2026-06-17,Brand Search,103534,1667,1687.69
2026-06-18,Brand Search,97782,1529,1623.32
2026-06-19,Brand Search,86869,1445,1479.26
2026-06-20,Brand Search,80171,1303,1305.43
2026-06-21,Brand Search,81458,1361,1442.09
2026-06-22,Brand Search,92798,1545,1554.12
2026-06-23,Brand Search,102477,1707,1657.24
2026-06-24,Brand Search,107815,1761,1829.89
2026-06-25,Brand Search,99145,1586,1585.28
2026-06-26,Brand Search,89434,1529,1509.00
2026-06-27,Brand Search,82686,1376,1461.54
2026-06-28,Brand Search,85855,1460,1448.92
2026-06-29,Brand Search,96018,1647,1511.63
2026-06-30,Brand Search,103836,1753,1776.41
2026-07-01,Brand Search,108515,1771,1798.60
2026-07-02,Brand Search,102904,1626,1715.93
2026-07-03,Brand Search,91353,1524,1519.40
2026-07-04,Brand Search,86585,1380,1358.17
2026-07-05,Brand Search,87856,1441,1513.22
2026-07-06,Brand Search,98244,1594,1583.67
2026-07-07,Brand Search,107524,1769,1780.95
2026-07-08,Brand Search,112247,1881,1837.58
2026-07-09,Brand Search,103586,1728,1722.93
2026-07-10,Brand Search,94842,1571,1537.45
2026-07-11,Brand Search,88285,1463,1477.67
2026-07-12,Brand Search,91075,1494,1514.07
2026-07-13,Brand Search,101331,1646,1774.23
2026-07-14,Brand Search,111472,1797,1817.52
2026-07-15,Brand Search,113723,1907,1953.18
2026-07-16,Brand Search,109182,1767,1730.43
2026-07-17,Brand Search,99745,1585,1634.20
2026-07-18,Brand Search,91115,1483,1542.17
2026-07-19,Brand Search,92382,1565,1595.32
2026-07-20,Brand Search,102751,1693,1748.51
2026-07-21,Brand Search,113229,1836,1891.42
2026-07-22,Brand Search,116470,1911,1925.92
2026-07-23,Brand Search,110520,1834,1870.60
2026-07-24,Brand Search,100715,1666,1644.98
2026-07-25,Brand Search,94986,1539,1547.52
2026-07-26,Brand Search,94733,1534,1512.12
2026-07-27,Brand Search,106490,1703,1795.73
2026-07-28,Brand Search,114202,1919,1930.16
