date,spend,clicks,budget
2026-03-01,329.85,297,400
2026-03-02,346.64,323,400
2026-03-03,420.57,383,400
2026-03-04,429.95,407,400
2026-03-05,411.80,386,400
2026-03-06,336.85,298,400
2026-03-07,290.38,258,400
2026-03-08,269.66,264,400
2026-03-09,371.04,335,400
2026-03-10,431.90,384,400
2026-03-11,431.62,399,400
2026-03-12,364.40,350,400
2026-03-13,345.07,319,400
2026-03-14,289.99,253,400
2026-03-15,354.03,312,400
2026-03-16,360.52,331,400
2026-03-17,442.83,368,400
2026-03-18,455.30,413,400
2026-03-19,411.72,358,400
2026-03-20,348.31,334,400
2026-03-21,308.01,269,400
2026-03-22,313.07,275,400
2026-03-23,383.74,348,400
2026-03-24,405.77,376,400
2026-03-25,405.81,347,400
2026-03-26,441.87,390,400
2026-03-27,373.73,335,400
2026-03-28,305.62,282,400
2026-03-29,304.97,264,400
2026-03-30,364.36,323,400
2026-03-31,521.18,494,500
2026-04-01,496.19,436,500
2026-04-02,501.02,458,500
2026-04-03,455.98,401,500
2026-04-04,413.41,372,500
2026-04-05,382.06,350,500
2026-04-06,430.15,394,500
2026-04-07,498.56,446,500
2026-04-08,560.28,524,500
2026-04-09,494.69,451,500
2026-04-10,419.45,394,500
2026-04-11,413.95,362,500
2026-04-12,381.37,343,500
2026-04-13,456.96,423,500
2026-04-14,487.47,428,500
2026-04-15,527.02,476,500
2026-04-16,504.76,469,500
2026-04-17,416.97,345,500
2026-04-18,403.02,354,500
2026-04-19,418.16,342,500
2026-04-20,458.43,414,500
2026-04-21,496.53,454,500
2026-04-22,520.94,472,500
2026-04-23,511.54,477,500
2026-04-24,457.59,417,500
2026-04-25,404.69,372,500
2026-04-26,419.61,369,500
2026-04-27,468.01,433,500
2026-04-28,499.47,436,500
2026-04-29,530.09,468,500
2026-04-30,549.75,492,600
2026-05-01,498.20,453,600
2026-05-02,484.07,437,600
2026-05-03,527.55,489,600
2026-05-04,550.61,467,600
2026-05-05,590.20,516,600
2026-05-06,628.22,586,600
2026-05-07,591.93,541,600
2026-05-08,537.15,493,600
2026-05-09,486.84,450,600
2026-05-10,499.65,435,600
2026-05-11,553.42,519,600
2026-05-12,595.76,514,600
2026-05-13,634.82,575,600
2026-05-14,589.06,524,600
2026-05-15,535.74,503,600
2026-05-16,481.54,443,600
2026-05-17,512.40,450,600
2026-05-18,555.98,508,600
2026-05-19,583.17,540,600
2026-05-20,589.59,546,600
2026-05-21,590.50,535,600
2026-05-22,511.41,451,600
2026-05-23,451.37,406,600
2026-05-24,503.14,460,600
2026-05-25,572.20,518,600
2026-05-26,592.96,547,600
2026-05-27,610.85,550,600
2026-05-28,555.98,514,600
2026-05-29,513.58,487,600
2026-05-30,569.44,507,700
2026-05-31,599.32,531,700
2026-06-01,616.49,541,700
2026-06-02,675.63,605,700
2026-06-03,721.86,659,700
2026-06-04,676.68,620,700
2026-06-05,576.64,511,700
2026-06-06,575.41,505,700
2026-06-07,606.82,538,700
2026-06-08,623.40,573,700
2026-06-09,678.90,608,700
2026-06-10,674.11,619,700
2026-06-11,671.39,623,700
2026-06-12,660.70,604,700
2026-06-13,579.10,511,700
2026-06-14,629.03,564,700
2026-06-15,656.59,594,700
2026-06-16,626.96,566,700
2026-06-17,706.06,638,700
2026-06-18,667.94,605,700
2026-06-19,599.15,547,700
2026-06-20,576.25,521,700
2026-06-21,629.19,569,700
2026-06-22,624.86,567,700
2026-06-23,663.79,600,700
2026-06-24,729.87,644,700
2026-06-25,667.69,590,700
2026-06-26,621.78,564,700
2026-06-27,589.40,527,700
2026-06-28,561.29,494,700
2026-06-29,728.16,666,800
2026-06-30,745.25,685,800
2026-07-01,780.67,682,800
2026-07-02,790.31,716,800
2026-07-03,692.59,627,800
2026-07-04,689.43,603,800
2026-07-05,714.03,632,800
2026-07-06,752.07,670,800
2026-07-07,753.30,671,800
2026-07-08,785.13,708,800
2026-07-09,730.72,645,800
2026-07-10,716.36,640,800
2026-07-11,667.99,607,800
2026-07-12,664.42,624,800
2026-07-13,722.28,655,800
2026-07-14,780.17,715,800
2026-07-15,786.53,698,800
2026-07-16,767.06,698,800
2026-07-17,707.52,663,800
2026-07-18,692.12,640,800
2026-07-19,713.67,656,800
2026-07-20,732.86,680,800
2026-07-21,776.30,701,800
2026-07-22,821.26,751,800
2026-07-23,741.98,664,800
2026-07-24,693.44,639,800
2026-07-25,671.10,604,800
2026-07-26,676.51,603,800
2026-07-27,748.96,662,800
2026-07-28,784.27,700,800
2026-07-29,879.91,776,900
2026-07-30,876.17,768,900
2026-07-31,779.11,696,900
2026-08-01,771.01,685,900
2026-08-02,750.69,670,900
2026-08-03,809.34,720,900
2026-08-04,905.12,789,900
2026-08-05,886.09,802,900
2026-08-06,846.31,757,900
2026-08-07,822.02,737,900
2026-08-08,737.07,659,900
2026-08-09,787.91,704,900
2026-08-10,817.13,738,900
2026-08-11,865.58,781,900
2026-08-12,898.58,801,900
2026-08-13,824.55,759,900
2026-08-14,809.21,719,900
2026-08-15,742.95,669,900
2026-08-16,784.80,712,900
2026-08-17,834.69,746,900
2026-08-18,867.19,762,900
2026-08-19,872.58,779,900
2026-08-20,873.84,770,900
2026-08-21,836.60,764,900
2026-08-22,759.78,676,900
2026-08-23,785.09,711,900
2026-08-24,841.14,735,900
2026-08-25,868.37,788,900
2026-08-26,903.17,818,900
2026-08-27,852.29,771,900
