Day,Campaign status,Campaign,Budget,Currency code,Cost,Impr.,Clicks,Campaign ID
2026-01-05,Enabled,Brand Search,40.00,USD,35.13,618,33,11100000001
2026-01-05,Enabled,Shopping - All,120.00,USD,99.96,7507,162,11100000002
2026-01-05,Enabled,Performance Max,85.00,USD,70.59,9529,147,11100000003
2026-01-05,Enabled,Display Remarketing,25.00,USD,22.45,22494,98,11100000004
2026-01-05,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-06,Enabled,Brand Search,40.00,USD,35.91,639,38,11100000001
2026-01-06,Enabled,Shopping - All,120.00,USD,103.38,8872,171,11100000002
2026-01-06,Enabled,Performance Max,85.00,USD,78.65,12517,160,11100000003
2026-01-06,Enabled,Display Remarketing,25.00,USD,20.74,25385,106,11100000004
2026-01-06,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-07,Enabled,Brand Search,40.00,USD,33.94,542,31,11100000001
2026-01-07,Enabled,Shopping - All,120.00,USD,116.38,8518,176,11100000002
2026-01-07,Enabled,Performance Max,85.00,USD,79.71,11682,162,11100000003
2026-01-07,Enabled,Display Remarketing,25.00,USD,20.84,21412,91,11100000004
2026-01-07,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-08,Enabled,Brand Search,40.00,USD,37.87,648,37,11100000001
2026-01-08,Enabled,Shopping - All,120.00,USD,111.55,8137,178,11100000002
2026-01-08,Enabled,Performance Max,85.00,USD,82.22,12064,178,11100000003
2026-01-08,Enabled,Display Remarketing,25.00,USD,23.19,29832,111,11100000004
2026-01-08,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-09,Enabled,Brand Search,40.00,USD,38.28,737,37,11100000001
2026-01-09,Enabled,Shopping - All,120.00,USD,101.56,8061,161,11100000002
2026-01-09,Enabled,Performance Max,85.00,USD,72.46,9792,151,11100000003
2026-01-09,Enabled,Display Remarketing,25.00,USD,23.65,30185,119,11100000004
2026-01-09,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-10,Enabled,Brand Search,40.00,USD,28.37,510,27,11100000001
2026-01-10,Enabled,Shopping - All,120.00,USD,80.69,6231,132,11100000002
2026-01-10,Enabled,Performance Max,85.00,USD,59.88,9664,136,11100000003
2026-01-10,Enabled,Display Remarketing,25.00,USD,17.04,19246,74,11100000004
2026-01-10,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-11,Enabled,Brand Search,40.00,USD,27.21,581,30,11100000001
2026-01-11,Enabled,Shopping - All,120.00,USD,75.95,5907,120,11100000002
2026-01-11,Enabled,Performance Max,85.00,USD,50.89,7002,105,11100000003
2026-01-11,Enabled,Display Remarketing,25.00,USD,15.28,17385,66,11100000004
2026-01-11,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-12,Enabled,Brand Search,40.00,USD,34.09,569,32,11100000001
2026-01-12,Enabled,Shopping - All,120.00,USD,118.45,8249,175,11100000002
2026-01-12,Enabled,Performance Max,85.00,USD,78.93,13450,177,11100000003
2026-01-12,Enabled,Display Remarketing,25.00,USD,24.64,27526,112,11100000004
2026-01-12,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-13,Enabled,Brand Search,40.00,USD,35.81,774,39,11100000001
2026-01-13,Enabled,Shopping - All,120.00,USD,102.88,6985,155,11100000002
2026-01-13,Enabled,Performance Max,85.00,USD,74.15,11196,154,11100000003
2026-01-13,Enabled,Display Remarketing,25.00,USD,21.94,23119,94,11100000004
2026-01-13,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-14,Enabled,Brand Search,40.00,USD,35.94,714,36,11100000001
2026-01-14,Enabled,Shopping - All,120.00,USD,114.84,9065,186,11100000002
2026-01-14,Enabled,Performance Max,85.00,USD,81.13,11879,154,11100000003
2026-01-14,Enabled,Display Remarketing,25.00,USD,24.33,33112,125,11100000004
2026-01-14,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-15,Enabled,Brand Search,40.00,USD,36.16,586,35,11100000001
2026-01-15,Enabled,Shopping - All,120.00,USD,113.78,7264,167,11100000002
2026-01-15,Enabled,Performance Max,85.00,USD,73.99,9957,144,11100000003
2026-01-15,Enabled,Display Remarketing,25.00,USD,21.05,20931,90,11100000004
2026-01-15,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-16,Enabled,Brand Search,40.00,USD,34.08,543,33,11100000001
2026-01-16,Enabled,Shopping - All,120.00,USD,119.22,8722,197,11100000002
2026-01-16,Enabled,Performance Max,85.00,USD,74.77,10493,151,11100000003
2026-01-16,Enabled,Display Remarketing,25.00,USD,21.40,29937,109,11100000004
2026-01-16,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-17,Enabled,Brand Search,40.00,USD,26.50,434,26,11100000001
2026-01-17,Enabled,Shopping - All,120.00,USD,73.74,5219,115,11100000002
2026-01-17,Enabled,Performance Max,85.00,USD,60.38,7560,117,11100000003
2026-01-17,Enabled,Display Remarketing,25.00,USD,18.16,20213,87,11100000004
2026-01-17,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-18,Enabled,Brand Search,40.00,USD,26.95,439,24,11100000001
2026-01-18,Enabled,Shopping - All,120.00,USD,87.74,7522,152,11100000002
2026-01-18,Enabled,Performance Max,85.00,USD,54.10,7334,110,11100000003
2026-01-18,Enabled,Display Remarketing,25.00,USD,17.60,22172,84,11100000004
2026-01-18,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-19,Enabled,Brand Search,40.00,USD,35.91,657,34,11100000001
2026-01-19,Enabled,Shopping - All,120.00,USD,122.19,10663,211,11100000002
2026-01-19,Enabled,Performance Max,85.00,USD,83.95,12357,183,11100000003
2026-01-19,Enabled,Display Remarketing,25.00,USD,23.31,24456,108,11100000004
2026-01-19,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-20,Enabled,Brand Search,40.00,USD,33.74,554,32,11100000001
2026-01-20,Enabled,Shopping - All,120.00,USD,115.91,9612,204,11100000002
2026-01-20,Enabled,Performance Max,85.00,USD,85.93,15274,196,11100000003
2026-01-20,Enabled,Display Remarketing,25.00,USD,22.64,24107,102,11100000004
2026-01-20,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-21,Enabled,Brand Search,40.00,USD,35.04,615,33,11100000001
2026-01-21,Enabled,Shopping - All,120.00,USD,120.67,9864,208,11100000002
2026-01-21,Enabled,Performance Max,85.00,USD,81.60,11789,180,11100000003
2026-01-21,Enabled,Display Remarketing,25.00,USD,24.04,32750,124,11100000004
2026-01-21,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-22,Enabled,Brand Search,40.00,USD,39.18,663,39,11100000001
2026-01-22,Enabled,Shopping - All,120.00,USD,118.39,9340,185,11100000002
2026-01-22,Enabled,Performance Max,85.00,USD,86.72,12394,177,11100000003
2026-01-22,Enabled,Display Remarketing,25.00,USD,25.39,29421,126,11100000004
2026-01-22,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-23,Enabled,Brand Search,40.00,USD,34.62,629,32,11100000001
2026-01-23,Enabled,Shopping - All,120.00,USD,118.95,9030,178,11100000002
2026-01-23,Enabled,Performance Max,85.00,USD,86.99,12958,187,11100000003
2026-01-23,Enabled,Display Remarketing,25.00,USD,23.59,23474,104,11100000004
2026-01-23,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-24,Enabled,Brand Search,40.00,USD,29.47,548,30,11100000001
2026-01-24,Enabled,Shopping - All,120.00,USD,87.80,7162,140,11100000002
2026-01-24,Enabled,Performance Max,85.00,USD,60.97,8146,120,11100000003
2026-01-24,Enabled,Display Remarketing,25.00,USD,16.16,18565,73,11100000004
2026-01-24,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-25,Enabled,Brand Search,40.00,USD,25.71,421,25,11100000001
2026-01-25,Enabled,Shopping - All,120.00,USD,87.55,6469,137,11100000002
2026-01-25,Enabled,Performance Max,85.00,USD,58.31,9209,131,11100000003
2026-01-25,Enabled,Display Remarketing,25.00,USD,18.27,21888,87,11100000004
2026-01-25,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-26,Enabled,Brand Search,40.00,USD,37.72,611,34,11100000001
2026-01-26,Enabled,Shopping - All,120.00,USD,105.58,7722,153,11100000002
2026-01-26,Enabled,Performance Max,85.00,USD,74.62,11570,155,11100000003
2026-01-26,Enabled,Display Remarketing,25.00,USD,23.73,27350,109,11100000004
2026-01-26,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-27,Enabled,Brand Search,40.00,USD,38.01,670,40,11100000001
2026-01-27,Enabled,Shopping - All,120.00,USD,114.15,7962,175,11100000002
2026-01-27,Enabled,Performance Max,85.00,USD,84.21,12727,176,11100000003
2026-01-27,Enabled,Display Remarketing,25.00,USD,24.71,31390,127,11100000004
2026-01-27,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-28,Enabled,Brand Search,40.00,USD,38.49,711,39,11100000001
2026-01-28,Enabled,Shopping - All,120.00,USD,117.27,8964,187,11100000002
2026-01-28,Enabled,Performance Max,85.00,USD,79.67,13444,181,11100000003
2026-01-28,Enabled,Display Remarketing,25.00,USD,25.29,31175,131,11100000004
2026-01-28,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-29,Enabled,Brand Search,40.00,USD,38.15,816,42,11100000001
2026-01-29,Enabled,Shopping - All,120.00,USD,105.01,7390,157,11100000002
2026-01-29,Enabled,Performance Max,85.00,USD,73.36,9473,145,11100000003
2026-01-29,Enabled,Display Remarketing,25.00,USD,24.36,33192,123,11100000004
2026-01-29,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-30,Enabled,Brand Search,40.00,USD,35.18,694,37,11100000001
2026-01-30,Enabled,Shopping - All,120.00,USD,105.29,9529,183,11100000002
2026-01-30,Enabled,Performance Max,85.00,USD,75.80,12036,172,11100000003
2026-01-30,Enabled,Display Remarketing,25.00,USD,23.54,32795,123,11100000004
2026-01-30,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-01-31,Enabled,Brand Search,40.00,USD,25.41,456,25,11100000001
2026-01-31,Enabled,Shopping - All,120.00,USD,79.09,5507,120,11100000002
2026-01-31,Enabled,Performance Max,85.00,USD,60.41,8231,114,11100000003
2026-01-31,Enabled,Display Remarketing,25.00,USD,16.82,17393,72,11100000004
2026-01-31,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-01,Enabled,Brand Search,40.00,USD,27.94,465,28,11100000001
2026-02-01,Enabled,Shopping - All,120.00,USD,89.66,7973,153,11100000002
