date,spend,budget
2026-03-01,308.67,400
2026-03-02,377.21,400
2026-03-03,418.66,400
2026-03-04,430.57,400
2026-03-05,381.63,400
2026-03-06,333.79,400
2026-03-07,319.77,400
2026-03-08,320.91,400
2026-03-09,386.66,400
2026-03-10,427.21,400
2026-03-11,443.35,400
2026-03-12,401.71,400
2026-03-13,307.64,400
2026-03-14,315.15,400
2026-03-15,322.39,400
2026-03-16,376.98,400
2026-03-17,392.28,400
2026-03-18,404.85,400
2026-03-19,382.36,400
2026-03-20,329.20,400
2026-03-21,305.25,400
2026-03-22,312.45,400
2026-03-23,377.38,400
2026-03-24,411.17,400
2026-03-25,441.80,400
2026-03-26,405.47,400
2026-03-27,325.73,400
2026-03-28,330.67,400
2026-03-29,323.29,400
2026-03-30,389.55,400
2026-03-31,503.56,500
2026-04-01,514.93,500
2026-04-02,484.18,500
2026-04-03,427.71,500
2026-04-04,403.13,500
2026-04-05,409.74,500
2026-04-06,451.95,500
2026-04-07,497.50,500
2026-04-08,518.87,500
2026-04-09,512.35,500
2026-04-10,415.09,500
2026-04-11,396.16,500
2026-04-12,412.95,500
2026-04-13,433.18,500
2026-04-14,515.60,500
2026-04-15,551.76,500
2026-04-16,454.11,500
2026-04-17,423.84,500
2026-04-18,389.84,500
2026-04-19,390.56,500
2026-04-20,468.95,500
2026-04-21,513.61,500
2026-04-22,501.88,500
2026-04-23,505.27,500
2026-04-24,441.68,500
2026-04-25,408.78,500
2026-04-26,431.20,500
2026-04-27,466.52,500
2026-04-28,516.88,500
2026-04-29,504.86,500
2026-04-30,593.45,600
2026-05-01,510.62,600
2026-05-02,475.61,600
2026-05-03,474.51,600
2026-05-04,534.58,600
2026-05-05,597.17,600
2026-05-06,643.44,600
2026-05-07,545.80,600
2026-05-08,495.39,600
2026-05-09,488.06,600
2026-05-10,523.25,600
2026-05-11,562.41,600
2026-05-12,572.53,600
2026-05-13,574.92,600
2026-05-14,588.81,600
2026-05-15,508.38,600
2026-05-16,463.60,600
2026-05-17,514.86,600
2026-05-18,571.83,600
2026-05-19,609.56,600
2026-05-20,624.67,600
2026-05-21,590.19,600
2026-05-22,550.32,600
2026-05-23,494.90,600
2026-05-24,506.61,600
2026-05-25,561.86,600
2026-05-26,578.50,600
2026-05-27,643.32,600
2026-05-28,599.56,600
2026-05-29,531.16,600
2026-05-30,540.23,700
2026-05-31,577.87,700
2026-06-01,659.16,700
2026-06-02,666.13,700
2026-06-03,708.93,700
2026-06-04,692.72,700
2026-06-05,590.03,700
2026-06-06,604.74,700
2026-06-07,599.21,700
2026-06-08,641.30,700
2026-06-09,704.58,700
2026-06-10,723.94,700
2026-06-11,676.54,700
2026-06-12,634.25,700
2026-06-13,563.85,700
2026-06-14,581.81,700
2026-06-15,662.75,700
2026-06-16,699.21,700
2026-06-17,696.40,700
2026-06-18,691.41,700
2026-06-19,640.01,700
2026-06-20,567.75,700
2026-06-21,564.43,700
2026-06-22,641.57,700
2026-06-23,696.05,700
2026-06-24,706.88,700
2026-06-25,699.66,700
2026-06-26,595.14,700
2026-06-27,598.45,700
2026-06-28,566.44,700
2026-06-29,721.83,800
2026-06-30,802.10,800
2026-07-01,824.56,800
2026-07-02,781.83,800
2026-07-03,711.84,800
2026-07-04,670.32,800
2026-07-05,684.02,800
2026-07-06,746.36,800
2026-07-07,787.56,800
2026-07-08,809.24,800
2026-07-09,776.68,800
2026-07-10,705.64,800
2026-07-11,681.51,800
2026-07-12,691.46,800
2026-07-13,772.19,800
2026-07-14,796.58,800
2026-07-15,796.55,800
2026-07-16,759.67,800
2026-07-17,705.39,800
2026-07-18,684.38,800
2026-07-19,675.21,800
2026-07-20,742.94,800
2026-07-21,823.80,800
2026-07-22,758.08,800
2026-07-23,746.14,800
2026-07-24,710.02,800
2026-07-25,674.93,800
2026-07-26,685.57,800
2026-07-27,728.24,800
2026-07-28,802.52,800
2026-07-29,901.32,900
2026-07-30,848.97,900
2026-07-31,841.37,900
2026-08-01,766.15,900
2026-08-02,763.30,900
2026-08-03,826.21,900
2026-08-04,878.67,900
2026-08-05,895.12,900
2026-08-06,809.27,900
2026-08-07,788.86,900
2026-08-08,777.91,900
2026-08-09,752.24,900
2026-08-10,826.80,900
2026-08-11,899.89,900
2026-08-12,911.66,900
2026-08-13,885.21,900
2026-08-14,767.00,900
2026-08-15,753.39,900
2026-08-16,767.13,900
2026-08-17,839.22,900
2026-08-18,902.38,900
2026-08-19,847.95,900
2026-08-20,877.97,900
2026-08-21,771.57,900
2026-08-22,772.05,900
2026-08-23,746.41,900
2026-08-24,831.17,900
2026-08-25,904.23,900
2026-08-26,893.56,900
2026-08-27,861.81,900
